Cluster	Zero-Order	M-Order	T-Order	ProposedMethod
0	ترکی شام	ترک فوجی کارروائی	ترکی شام	ترکی کی شام میں فوجی کارروائی
1	ڈی ایچ کیو ہسپتال وہاڑی کادورہ ہسپتال	ڈی ایچ کیو ہسپتال وہاڑی کادورہ ہسپتال	ڈی ایچ کیو ہسپتال وہاڑی کادورہ ہسپتال	ڈینگی کے مریضوں
2	ڈینگی مچھر	سی ای او ہیلتھ خانیوال	سی ای او ہیلتھ خانیوال	انعقاد احتیاطی تدابیر اپنا کر ڈینگی پر قابو
3	سی پیک اتھارٹی بارے	حکام	حکام	حکام سی پیک اتھارٹی
4	وزیراعظم عمران خان	وزیراعظم عمران خان	وزیر اعظم عمران خان	پاکستان اور چین سی پیک
5	ضلعی انتظامیہ لاہور	ضلعی انتظامیہ لاہور	ضلعی انتظامیہ لاہور	ضلعی انتظامیہ نے ڈینگی کی رپورٹ
6	پریشان عمران خان	پی ٹی آئی حکومت عمران خان	پی ٹی آئی حکومت عمران خان	No title constructed
7	کشمیری عوام کیساتھ اظہار یکجہتی	طاقت کشمیری حریت پسندوں	کشمیری عوام کیساتھ اظہار یکجہتی	کشمیریوں سے اظہار یکجہتی کیلئے ریلی
8	پاک سری لنکن ٹی ٹونٹی کرکٹ سیریز سکیورٹی	سری لنکن	سری لنکا	No title constructed
9	محکمہ صحت ڈینگی وائرس	محکمہ صحت ڈینگی وائرس	محکمہ صحت ڈینگی وائرس	محکمہ صحت ڈینگی وائرس
10	خیبر پختونخوا	مزید کیسز تعداد	مزید کیسز تعداد	ڈینگی کے مریضوں کی تعداد
11	ڈپٹی کمشنر محمد سیف انور جپہ	ڈپٹی کمشنر جہلم محمد سیف انور جپہ	ڈپٹی کمشنر محمد سیف انور جپہ	No title constructed
12	زیر صدارت انسداد ڈینگی	زیر صدارت انسداد ڈینگی	زیر صدارت انسداد ڈینگی	زیر صدارت انسداد ڈینگی کے حوالے
